Assay,Taxon,Name,Amp
CMCP_3,Unspecified,Cyprinus carpio,0.871
CMCP_3,Unspecified,Luciobarbus leptopogon,0.788
CMCP_3,Unspecified,Luciobarbus biscarensis,0.691
CMCP_3,Unspecified,Luciobarbus capito,0.658
CMCP_3,Unspecified,Luciobarbus brachycephalus,0.658
CMCP_3,Unspecified,Luciobarbus guercifensis,0.625
CMCP_3,Unspecified,Luciobarbus comizo,0.601
CMCP_3,Unspecified,Luciobarbus pallaryi,0.567
CMCP_3,Unspecified,Luciobarbus rifensis,0.555
CMCP_3,Unspecified,Luciobarbus yahyaouii,0.545
CMCP_3,Unspecified,Luciobarbus zayanensis,0.545
CMCP_3,Unspecified,Luciobarbus barbulus,0.538
CMCP_3,Unspecified,Luciobarbus kottelati,0.489
CMCP_3,Unspecified,Luciocyprinus langsoni,0.461
CMCP_3,Unspecified,Luciobarbus maghrebensis,0.448
CMCP_3,Unspecified,Luciobarbus magniatlantis,0.448
CMCP_3,Unspecified,Luciobarbus nasus,0.448
CMCP_3,Unspecified,Luciobarbus bocagei,0.427
CMCP_3,Unspecified,Lobocheilos melanotaenia,0.381
CMCP_3,Unspecified,Onychostoma barbatum,0.347
CMCP_3,Unspecified,Onychostoma fangi,0.347
CMCP_3,Unspecified,Onychostoma ovale,0.34
CMCP_3,Unspecified,Labiobarbus ocellatus,0.321
CMCP_3,Unspecified,Percocypris pingi,0.312
CMCP_3,Unspecified,Onychostoma virgulatum,0.306
CMCP_3,Unspecified,Onychostoma macrolepis,0.306
CMCP_3,Unspecified,Oliotius oligolepis,0.302
CMCP_3,Unspecified,Luciobarbus graellsii,0.291
CMCP_3,Unspecified,Parachondrostoma arrigonis,0.284
CMCP_3,Unspecified,Luciobarbus rabatensis,0.283
CMCP_3,Unspecified,Luciosoma setigerum,0.281
CMCP_3,Unspecified,Luciobarbus mursa,0.276
CMCP_3,Unspecified,Onychostoma elongatum,0.269
CMCP_3,Unspecified,Parachondrostoma miegii,0.267
CMCP_3,Unspecified,Onychostoma angustistomata,0.261
CMCP_3,Unspecified,Osteochilus schlegelii,0.258
CMCP_3,Unspecified,Pethia nigrofasciata,0.256
CMCP_3,Unspecified,Mystacoleucus ectypus,0.254
CMCP_3,Unspecified,Luciocyprinus striolatus,0.253
CMCP_3,Unspecified,Luciobarbus sclateri,0.252
CMCP_3,Unspecified,Microphysogobio koreensis,0.252
CMCP_3,Unspecified,Osteochilichthys thomassi,0.251
CMCP_3,Unspecified,Luciobarbus callensis,0.248
CMCP_3,Unspecified,Pethia stoliczkana,0.246
CMCP_3,Unspecified,Mystacoleucus atridorsalis,0.243
CMCP_3,Unspecified,Mystacoleucus lepturus,0.243
CMCP_3,Unspecified,Luciobarbus setivimensis,0.242
CMCP_3,Unspecified,Onychostoma barbatulum,0.242
CMCP_3,Unspecified,Osteobrama feae,0.242
CMCP_3,Unspecified,Leuciscus peloponnensis,0.241
CMCP_3,Unspecified,Phoxinellus pseudalepidotus,0.239
CMCP_3,Unspecified,Osteochilus waandersii,0.236
CMCP_3,Unspecified,Oreinus meridionalis,0.236
CMCP_3,Unspecified,Oreinus rotundimaxillaris,0.236
CMCP_3,Unspecified,Osteochilus microcephalus,0.235
CMCP_3,Unspecified,Onychostoma minnanense,0.231
CMCP_3,Unspecified,Leuciscus peloponnesis,0.231
CMCP_3,Unspecified,Notropis nazas,0.231
CMCP_3,Unspecified,Notropis ammophilus,0.23
CMCP_3,Unspecified,Leuciscus turskyi,0.228
CMCP_3,Unspecified,Osteochilus salsburyi,0.228
CMCP_3,Unspecified,Onychostoma krongnoensis,0.226
CMCP_3,Unspecified,Neolissochilus stracheyi,0.226
CMCP_3,Unspecified,Lythrurus roseipinnis,0.223
CMCP_3,Unspecified,Osteochilus nashii,0.223
CMCP_3,Unspecified,Notropis hudsonius,0.221
CMCP_3,Unspecified,Phoxinellus metohiensis,0.219
CMCP_3,Unspecified,Pethia padamya,0.217
CMCP_3,Unspecified,Neolissochilus hendersoni,0.217
CMCP_3,Unspecified,Neolissochilus soroides,0.217
CMCP_3,Unspecified,Notropis calientis,0.216
CMCP_3,Unspecified,Phoxinellus alepidotus,0.215
CMCP_3,Unspecified,Onychostoma gerlachi,0.215
CMCP_3,Unspecified,Onychostoma simum,0.215
CMCP_3,Unspecified,Microphysogobio chenhsienensis,0.215
CMCP_3,Unspecified,Pethia lutea,0.214
CMCP_3,Unspecified,Parachondrostoma turiense,0.214
CMCP_3,Unspecified,Pelasgus laconicus,0.214
CMCP_3,Unspecified,REMOVE,0.213
CMCP_3,Unspecified,Phoxinellus croaticus,0.212
CMCP_3,Unspecified,Notropis amecae,0.21
CMCP_3,Unspecified,Onychostoma alticorpus,0.21
CMCP_3,Unspecified,Phreatichthys andruzzii,0.209
CMCP_3,Unspecified,Neolissochilus baoshanensis,0.209
CMCP_3,Unspecified,Oreinus dulongensis,0.209
CMCP_3,Unspecified,Oreinus myzostomus,0.209
CMCP_3,Unspecified,Oreinus molesworthi,0.209
CMCP_3,Unspecified,Phoxinellus krbavensis,0.207
CMCP_3,Unspecified,Phoxinus phoxinus,0.207
CMCP_3,Unspecified,Leuciscus borysthenicus,0.206
CMCP_3,Unspecified,Petroleuciscus borysthenicus,0.206
CMCP_3,Unspecified,Notropis edwardraneyi,0.206
CMCP_3,Unspecified,Leuciscus zrmanjae,0.205
CMCP_3,Unspecified,Notropis chalybaeus,0.205
CMCP_3,Unspecified,Phoxinus steindachneri,0.205
CMCP_3,Unspecified,Phoxinus oreas,0.204
CMCP_3,Unspecified,Macrhybopsis storeriana,0.204
