Assay,Taxon,Name,Amp
CMCP_4,Unspecified,Cyprinus carpio,0.871
CMCP_4,Unspecified,Rhinichthys atratulus,0.185
CMCP_4,Unspecified,Rutilus rutilus,0.18
CMCP_4,Unspecified,Semotilus lumbee,0.179
CMCP_4,Unspecified,Rhinichthys obtusus,0.179
CMCP_4,Unspecified,Rhodeus uyekii,0.177
CMCP_4,Unspecified,Pseudorasbora elongata,0.176
CMCP_4,Unspecified,Rutilus heckelii,0.175
CMCP_4,Unspecified,Pteronotropis hubbsi,0.174
CMCP_4,Unspecified,Pteronotropis harperi,0.172
CMCP_4,Unspecified,Rhodeus amurensis,0.167
CMCP_4,Unspecified,Rutilus frisii,0.167
CMCP_4,Unspecified,Pseudophoxinus zekayi,0.167
CMCP_4,Unspecified,Rhodeus shitaiensis,0.165
CMCP_4,Unspecified,Pimephales vigilax,0.163
CMCP_4,Unspecified,Sarcocheilichthys biwaensis,0.163
CMCP_4,Unspecified,Rasbora argyrotaenia,0.162
CMCP_4,Unspecified,Sarcocheilichthys kiangsiensis,0.162
CMCP_4,Unspecified,Relictus solitarius,0.158
CMCP_4,Unspecified,Salmostoma bacaila,0.157
CMCP_4,Unspecified,Puntius cauveriensis,0.156
CMCP_4,Unspecified,Puntius kamalika,0.156
CMCP_4,Unspecified,Pseudophoxinus kervillei,0.156
CMCP_4,Unspecified,Pseudophoxinus callensis,0.156
CMCP_4,Unspecified,Puntigrus partipentazona,0.156
CMCP_4,Unspecified,REMOVE,0.155
CMCP_4,Unspecified,Platysmacheilus exiguus,0.155
CMCP_4,Unspecified,Rasbora wilpita,0.153
CMCP_4,Unspecified,Pseudopungtungia tenuicorpus,0.153
CMCP_4,Unspecified,Pseudobarbus quathlambae,0.152
CMCP_4,Unspecified,Pseudophoxinus stymphalicus,0.152
CMCP_4,Unspecified,Rhinogobio ventralis,0.152
CMCP_4,Unspecified,Rhinogobio nasutus,0.152
CMCP_4,Unspecified,Rhinogobio typus,0.152
CMCP_4,Unspecified,Sinocyclocheilus anatirostris,0.151
CMCP_4,Unspecified,Rutilus albus,0.15
CMCP_4,Unspecified,Rutilus basak,0.15
CMCP_4,Unspecified,Rhinichthys umatilla,0.15
CMCP_4,Unspecified,Schizothorax pelzami,0.147
CMCP_4,Unspecified,Platysmacheilus longibarbatus,0.147
CMCP_4,Unspecified,Sinocyclocheilus huaningensis,0.145
CMCP_4,Unspecified,Sinocyclocheilus guishanensis,0.145
CMCP_4,Unspecified,Rhodeus pseudosericeus,0.145
CMCP_4,Unspecified,Rasbora caudimaculata,0.145
CMCP_4,Unspecified,Sinocyclocheilus furcodorsalis,0.145
CMCP_4,Unspecified,Sinocyclocheilus oxycephalus,0.145
CMCP_4,Unspecified,Sinocyclocheilus purpureus,0.145
CMCP_4,Unspecified,Sinocyclocheilus qiubeiensis,0.145
CMCP_4,Unspecified,Pogonichthys macrolepidotus,0.145
CMCP_4,Unspecified,Schizocypris altidorsalis,0.144
CMCP_4,Unspecified,Pseudophoxinus fahirae,0.144
CMCP_4,Unspecified,Romanogobio banaticus,0.144
CMCP_4,Unspecified,Schizopygopsis anteroventris,0.144
CMCP_4,Unspecified,Sinocyclocheilus rhinocerous,0.144
CMCP_4,Unspecified,Schizopyge curvifrons,0.143
CMCP_4,Unspecified,Sinocyclocheilus tianlinensis,0.143
